CAMPAIGN_NAME,ASG_GROUPING_TITLE,ARTIST_DISPLAY_NAME,index
WrIe - Silk Sonic - Silk Sonic – An Evening with Silk Sonic (Album) - P1 - R - 0062L00000WCVqnQAH [Ireland],Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1071
[InStream] WrRE - Benson Boone - GHOST TOWN [Respend] - P2 - R - 0062L00000WCZgpQAH [United States],Ghost Town,Benson Boone,1072
WrRE - Mother Mother - LIFE - P1 - R - 0062L00000WCYBOQA5 [United States],Life,Mother Mother,1073
Atln - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCc1fQAD [USA],Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1074
Atln - Jasmine Thompson - Love Is Just A Word ft. Calum Scott - P1 - R - 0062L00000WCTxSQAX,love is just a word,Jasmine Thompson and Calum Scott,1075
WrCa - Amaal - Milly - P1 - R - 0062L00000WCE2ZQAX (Selfish Official Music Video) [Canada],Heaven,Amaal,1076
[Ride The Lightning] WrRE - Warren Zeiders - Artist Development - P3 - R - 0062L00000WC9ZiQAL [United States],Ride the Lightning,Warren Zeiders,1077
Eltr  - Avril Lavigne - Bite Me - P1 - R - 0062L00000WCTAAQA5 [United States],Bite Me,Avril Lavigne,1078
[The Man Himself] WrCa - Gang of Youths - Man Himself + album pre-order - P1 - R - 0062L00000WCnU7QAL [Canada],the man himself,Gang Of Youths,1079
Elektra: Cobra Starship - Beautiful Life/Vinyl Pre-Order [FB Boosted],Beautiful Life,Cobra Starship,1080
[FB/IG] Atln - Ckay - Love Nwantiti (North African Remix) [Music Video] - P1 - R - 0062L00000WCfDAQA1 [United States],love nwantiti (feat. ElGrande Toto) [North African Remix],CKay,1081
WrRE - David Sabastian - Sista [EP] - P1 - R - 0062L00000WCSR5QAP [IG] [USA],Bad Bih Holiday,David Sabastian,1082
[Phase 1] [IG/IGS Silk Sonic's page] Atln - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCc1fQAD [USA] (IG/IGS SS),Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1083
[IG Reels] [Phase 2] Atln - Charlotte Cardin - Phoenix - P1 - R - 0062L00000VI3m4QAD,Scorpio Season,Charlotte Cardin,1084
[IGS] [Phase 2] Atln - Charlotte Cardin - Phoenix - P1 - R - 0062L00000VI3m4QAD,Scorpio Season,Charlotte Cardin,1085
WrNa - Gabby Barrett - Goldmine Deluxe [Album Pre-order] + Pick Me Up - P1 - R - 0062L00000WCCgSQAX - [USA],Pick Me Up,Gabby Barrett,1086
[IGS/IGR] Atln - Ckay - Love Nwantiti (North African Remix) [Music Video] - P1 - R - 0062L00000WCfDAQA1 [United States],love nwantiti (feat. ElGrande Toto) [North African Remix],CKay,1087
[IGR] WrRE - WHOKILLEDXIX - Mondays! (ft. Pussy Riot) - P1 - R - 0062L00000VJI5QQAX,Mondays! (feat. Pussy Riot),WHOKILLEDXIX,1088
[IG/IGS] WrRE - WHOKILLEDXIX - Mondays! (ft. Pussy Riot) - P1 - R - 0062L00000VJI5QQAX,Mondays! (feat. Pussy Riot),WHOKILLEDXIX,1089
WrNa - Gabby Barrett - Goldmine Deluxe [Album Pre-order] + Pick Me Up - P1 - IG Boosted Post - 0062L00000WCCgSQAX - [USA] - Copy,Pick Me Up,Gabby Barrett,1091
WrAu - Tiesto - The Motto feat. Ava Max - P1 - R - 0062L00000WChpjQAD [Ava Max],The Motto,Tiësto & Ava Max,1092
WrAu - Tiesto - The Motto feat. Ava Max - P1 - R - 0062L00000WChpjQAD [Tiesto],The Motto,Tiësto & Ava Max,1093
Elektra: Cobra Starship - Beautiful Life/Vinyl Pre-Order [IG Boosted],Beautiful Life,Cobra Starship,1094
Warner Music Ireland: Rod Stewart - The Tears of Hercules,Hold On,Rod Stewart,1096
Eltr  - Avril Lavigne - Bite Me [IG Boosted Post - Core Fans] - P1 - R - 0062L00000WCTAAQA5 [United States],Bite Me,Avril Lavigne,1097
[Phase 1] [IGR Silk Sonic's page] Atln - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCc1fQAD [USA] - IGR,Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1098
WrIe - Silk Sonic - Silk Sonic – An Evening with Silk Sonic (Album) - P1 - R - 0062L00000WCVqnQAH  [Ireland],Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1099
Atln - Jasmine Thompson - Love Is Just A Word ft. Calum Scott - P1 - R - 0062L00000WCTxSQAX [United States],love is just a word,Jasmine Thompson and Calum Scott,1100
[FB/IG] [Phase 2] Atln - Charlotte Cardin - Phoenix - P1 - R - 0062L00000VI3m4QAD,Scorpio Season,Charlotte Cardin,1101
Rhno - Wale - Ambition [10th Anniversary] - P1 - R - 0062L00000WCtZlQAL [United States],Lotus Flower Bomb,Wale,1102
[Phase 1] [FB Bruno Mars' page] Atln - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCc1fQAD [USA] - Bruno FB,Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1103
[France] WrWW - Silk Sonic - New single + Album [FB/IG/IGS] - P1 - R - 0062L00000WCQp3QAH,Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1104
BgBt - Robin Schulz - Young Right Now (feat. Dennis Lloyd) - P1 - R - 0062L00000WCn2JQAT [USA],Young Right Now,Robin Schulz & Dennis Lloyd,1106
[Phase 1] Atln - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCc1fQAD [USA],Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1107
BgBt - Joel Corry - I Wish ft. Mabel - P1 - R - 0062L00000WCBYrQAP [USA],I Wish,Joel Corry,1108
WrCa - Ashnikko - Panic Attacks In Paradise [Re-Spend] - P1 - R - 0062L00000WComYQAT [Canada],Panic Attacks in Paradise,Ashnikko,1109
WrRE - David Sabastian - Sista [EP] - P1 - R - 0062L00000WCSR5QAP [USA],Bad Bih Holiday,David Sabastian,1110
WrIe - Silk Sonic - Silk Sonic – An Evening with Silk Sonic (Album) - P1 - R - 0062L00000WCVqnQAH,Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1111
Elektra: Skillet - Surviving the Game [Radio] [Minneapolis],Surviving The Game,Skillet,1112
Elektra: Skillet - Surviving the Game [Radio] [Grand Rapids],Surviving The Game,Skillet,1113
WrIe - Avril Lavigne - Bite Me - P1 - R - 0062L00000WCoQVQA1 [Ireland],Bite Me,Avril Lavigne,1114
Elektra: Skillet - Surviving the Game [Radio] [Milwaukee],Surviving The Game,Skillet,1115
Atln - Brynn Elliott - Breathe - P1 - R - 0062L00000WCU3pQAH,Breathe,Brynn Elliott,1116
Elektra: Skillet - Surviving the Game [Radio] [Kansas City],Surviving The Game,Skillet,1117
Elektra: Skillet - Surviving the Game [Radio] [Fresno] [DRAFT],Surviving The Game,Skillet,1118
Elektra: Skillet - Surviving the Game [Radio] [Seattle],Surviving The Game,Skillet,1119
Elektra: Skillet - Surviving the Game [Radio] [Vegas],Surviving The Game,Skillet,1120
Elektra: Skillet - Surviving the Game [Radio] [Ft. Wayne],Surviving The Game,Skillet,1121
[Phase 1] [Audio]  Atln - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCc1fQAD [USA],Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1123
Elektra: Skillet - Surviving the Game [Radio] [El Paso],Surviving The Game,Skillet,1124
Elektra: Cobra Starship - Beautiful Life/Vinyl Pre-Order,Beautiful Life,Cobra Starship,1125
[Phase 1] [Video] Atln - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCc1fQAD [USA],Smoking Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",1126
[Boost 5] WrRE - Bryce Vine - Miss You a Little - P2 - R - 0062L00000VHNoaQAH  [USA],Miss You A Little,Bryce Vine,1128
[A] WrNa - Warner Music Nashville - November YouTube Campaigns - P1 - R - 0062L00000WCWyiQAH,Embers,Ash,1130
YT - A36 - AREA 36 - Block - Preroll - Mot video,BLOCK,A36,1140
Silk Sonic - Album Clip SOTW - 2k€ -121121,210,210,1150
Rhno - Joni Mitchell - Archives Vol. 2 - P1 - M - 0062L00000WCD9ZQAX - [USA],Marcie,Joni Mitchell,1160
[DS] Gen Dro Cine (Rosendo) - Evento - NOV 2021,Venom,Venom,1170
"Amir - Clip Rétine Réédition album - 1,5k€ - 121121",Rétine,Amir,1180
DOM_Pam_doyouever_vdoview-trueview_12Nov2021,210,210,1190
N006377 - Anitta - Envolver - LATAM - Launch,Envolver,Anitta,1200
N006377 - Anitta - Midnight Try - Envolver,Envolver,Anitta,1210
Neil Young Barn Album_CrazyHorse SongOfTheSeasons_Youtube_InStream Ad_awareness,Alabama / Campaigner / Ohio / The Times They Are A-Changin’ / Lookin' for a Leader – 2020 / Southern Man / Little Wing (Medley),Neil Young,1220
Made Oportunidad,Marked,EMA,1230
Atln - Symba - Way Too Sexy [Freestyle] - P1 - R - 0062L00000WCtdnQAD [USA],0,Fatal,1240
"N006347 iZaak x  Jay Wheeler  """"El Finde""""- Google Pre Roll Campaign- GOOGLE 4.5K",Finde,"iZaak, Jay Wheeler",1250
2021 Ed Sheeran - = Release Banner,Diner,Ed Sheeran,1260
Ilta - Taivas maan päällä,Taivas maan päällä,Ilta,1270
HI - LW - Joel Corry - I Wish ft. Mabel NL:PO547415,I Wish,Joel Corry,1280
[SC] Roxette - Joyride - PO - NOV 2021,Joyride,Roxette,1290
[SC] Gen Dro Cines (Genérica) - EVENTO - NOV 2021,Venom,Venom,1300
Karl Killing - friday nights-WMB,friday nights,Karl Killing,1310
Silk Sonic An Evening With Silk Sonic traffic instream,Eva,Raf,1320
Anitta - Envolver - Final,Envolver,Anitta,1330
[SC] Rod Stewart - The Tears of Hercules - ALB - NOV 2021,The Tears Of Hercules,Rod Stewart,1340
D. JINAN - TIMELESS - TRUEVIEW,Timal,Timal,1350
[OMV] Atln - Garrett Nash - Palm Trees - P1 - R - 0062L00000VJOUAQA5 [United States],Palm Trees,gnash,1360
[SC] Efecto Pasillo - 10 - PO - NOV 2021,20/21,Leto,1370
[TrueView] Avril Lavigne - Bite Me | 12.11,Bite Me,Avril Lavigne,1380
Liis Lemsalu-Magusvalus-WMB,Magusvalus,Liis Lemsalu,1390
[SC] Coque Malla - El Astronauta Gigante - ALB - NOV 2021,El barco,Coque Malla,1400
[VD] Carlota Mad - Explícita - SGL - NOV 2021 2,Lucid,ARLO,1410
WrRE - Adam Melchor x Briston Maroney - Hold On For Dear Life - P1 - R - 0062L00000WCUvIQAX [United States],Hold on for Dear Life,Adam Melchor & Briston Maroney,1420
Malou - Let You Go_Youtube_Instream Ad & Discovery Ad_clicks,Let You Go,Malou,1430
Rod Stewart - The Tears Of Hercules - Out Now - Phase 3_Youtube_InStream Ad_awareness,The Tears Of Hercules,Rod Stewart,1440
Lil Uzi Vert - Demon High #2_Youtube_Instream Ad & Discovery Ad_awareness,Demon High,Lil Uzi Vert,1450
N006396- Blessd Medallo -Pre Roll Campaign  Google 5k,Roll,Rampa,1460
[Discovery] Avril Lavigne - Bite Me | 12.11,Bite Me,Avril Lavigne,1470
WrRE - Erica Banks - Designer - P1 - R - 0062L00000VflpOQAR [United States],Designer,Erica Banks,1480
WrRE - Omah Lay - Free My Mind - P1 - R - 0062L00000WCWTBQA5 [United States],Free My Mind,Omah Lay,1490
Sharlene Dopamina,Dopamina,Sharlene,1500
AR - Pier - Mundo En Llamas (A Refacturar) - 1121 - N002852,Mundo en llamas,Pier,1510
AR - Beyla - Callejero - 1121 - T001870,War,WAR,1520
WrCa - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCInRQAX,War,WAR,1530
AR - Justin Quiles - Colorin Colorao - 1121 - T001874,Colorín Colorado,Justin Quiles,1540
WrCa - Avril Lavigne - Bite Me - P1 - R - 0062L00000WCdwmQAD [Canada],Bite Me,Avril Lavigne,1550
WrRE - brother sundance - Rat Race EP - P1 - R - 0062L00000VIg1DQAT,Rat Race,brother sundance,1560
Int - Benson Boone - Ghost Town - Traffic - Spotify,Ghost Town,Benson Boone,1570
[NOV 2021] JAMIE MILLER - VIDEO VIEWS,Vices,Mac Miller,1580
ANI - Tyttö sä oot tähti - teaser,"Tyttö, sä oot tähti",ANI,1590
Ilta - Taivas maan päällä - teaser,Taivas maan päällä,Ilta,1600
A36 - AREA 36 / BLOCK - Trailer - Boost A36,BLOCK,A36,1610
[NOV 2021] - OLIVER TREE - VIDEO VIEWS,Ties,DEON,1620
RO - 9292 - Automated Ads Playlist_Generator,Matoma,Matoma,1630
【あいみょん／ハート】_【tiktok】_【20211112-1130】,13,Titiyo,1640
2021 - Ghali - Wallah,Wallah,Ghali,1650
Dany Brillant x Pierre Croce Anniv - Boost depuis WMF - 200€ - Traffic - 111121,"Bach, JS: Wir müssen durch viel Trübsal in das Reich Gottes eingehen, BWV 146","Sabine Devieilhe, Marianne Crebassa, Les Siècles, François-Xavier Roth",1660
David Bowie - Starman (reach) RH,Star,David Bowie,1680
Benson Boone - GHOST TOWN - Boost Benson - Local asset,Ghost Town,Benson Boone,1690
Atln - GAYLE - Abcdefu [Pt. 2 - iTunes] - P2 - R - 0062L00000WCn3qQAD [United States],abcdefu,GAYLE,1700
Led Zeppelin - Going to California (video views) [CE],Going To California,Led Zeppelin,1720
A36 - AREA 36 / BLOCK - Musikvideo Block Ute på fredag - Boost A36,BLOCK,A36,1730
Silk Sonic | Traffic,idk,KSI,1750
co_fb_co9_fiance_father_spanish_107970_de_vp14_644793,Fancy,Fancy,1760
co_fb_co9_royal_networth_rewrite_71951_de_vp14_216183,Wait,M83,1770
co_fb_co9_throuple_german_103095_de_vp4_ago_748548,Cup,Pile,1780
DOM_DGerrard_Magic_ppe-youtube_12Nov2021,Magic,D Gerrard,1790
AyAmor_Karen_11Nov,Akan,KAREN,1800
Medallo_BLESSD_11Nov,Mega,Medina,1810
Medallo_WMIG_11Nov,Mega,Medina,1820
Medallo_WMFB_11Nov,Allô,Mel,1830
[Silk Sonic - Album] Tráfego 12.11.21,210,210,1840
[Iza & David Guetta - Family] Tráfego - 11.11.21,Family,David Guetta,1850
[France] WrWW - Ckay - Love Nwantiti [Phase 4] [FB/IG/IGS] - P4 - R - 0062L00000WCR7RQAX,love nwantiti,CKay,1860
[Anitta - Envolver] Video View - 12.11,Envolver,Anitta,1870
[Anitta - Envolver] Tráfego - 12.11,Envolver,Anitta,1880
[Avril Lavigne - Bite Me] Tráfego - 12.11,Bite Me,Avril Lavigne,1890
DANNY OCEAN | PIZZA PARTY,Dante,Ocean,1900
PLUMITAS | ALBUM,Meta,Albe,1910
WrCa - David Boyd Janes - Drove Me Country [Apple Music] - P1 - R - 0062L00000VJ2vVQAT [Canada],Drove Me Country,David Boyd Janes,1930
WrCa - David Boyd Janes - Drove Me Country [Amazon Music] - P1 - R - 0062L00000VJ2vVQAT [Canada],Drove Me Country,David Boyd Janes,1940
WrCa - David Boyd Janes - Drove Me Country [Spotify] - P1 - R - 0062L00000VJ2vVQAT  [United States],Drove Me Country,David Boyd Janes,1950
WrCa - David Boyd Janes - Drove Me Country [DSP] - P1 - R - 0062L00000VJ2vVQAT [Canada],Drove Me Country,David Boyd Janes,1960
WrCa - Silk Sonic - An Evening With Silk Sonic - P1 - R - 0062L00000WCInRQAX [Canada],War,WAR,1970
"[1869] - AR, Mariela Castiglioni, Anitta, Envolver, 60 K, Nov 2021",Envolver,Anitta,1980
