index,entry,combineScore
73.0,<entry1>  Neil Young Barn Album_Crazy Horse Heading West_Youtube_InStream Ad_awareness  <entry2> <artistName>  Neil Young  <trackName>  Hoser Editing,0.845
96.0,<entry1>  REC118 D2C NINHO JEFE _ Website traffic-Search  <entry2> <artistName>  Sea  <trackName>  Drive,0.7
100.0,<entry1>  [VD] Y yo latiendo - SGL - NOV 2021 (2)  <entry2> <artistName>  Hate  <trackName>  Venom,0.675
118.0,<entry1>  Oma geht Steil x Mastodon - Pushing the Tides_Youtube_Discovery Ad_awareness  <entry2> <artistName>  Mastodon  <trackName>  The Bit,0.7849999999999999
119.0,<entry1>  Oma geht Steil x Mastodon - Pushing the Tides_Youtube_Discovery Ad_awareness  <entry2> <artistName>  Mastodon  <trackName>  The Beast,0.78
120.0,<entry1>  Oma geht Steil x Mastodon - Pushing the Tides_Youtube_Discovery Ad_awareness  <entry2> <artistName>  The Time  <trackName>  The Bird,0.685
122.0,<entry1>  Oma geht Steil x Mastodon - Pushing the Tides_Youtube_Discovery Ad_awareness  <entry2> <artistName>  Omar  <trackName>  Sing,0.75
125.0,<entry1>  Oma geht Steil x Mastodon - Pushing the Tides_Youtube_Discovery Ad_awareness  <entry2> <artistName>  Genesis  <trackName>  In The Rapids,0.6950000000000001
146.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] - P2 - R - 0062L00000WCn3qQAD [Canada]  <entry2> <artistName>  Candy  <trackName>  Candy Says,0.6950000000000001
151.0,<entry1>  Karl Killing - friday nights-EE-WMB  <entry2> <artistName>  illion  <trackName>  Illion - Banka,0.7
158.0,<entry1>  [DS] Vanesa Martín - 7 Veces Si Reedición - PO - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
159.0,<entry1>  [DS] Vanesa Martín - 7 Veces Si Reedición - PO - NOV 2021  <entry2> <artistName>  Vanesa Martín  <trackName>  En el aire,0.7
161.0,<entry1>  [DS] Vanesa Martín - 7 Veces Si Reedición - PO - NOV 2021  <entry2> <artistName>  Vanesa Martín  <trackName>  Tentación,0.78
162.0,<entry1>  [DS] Vanesa Martín - 7 Veces Si Reedición - PO - NOV 2021  <entry2> <artistName>  Vec  <trackName>  Dalsi Level,0.725
164.0,<entry1>  [DS] Vanesa Martín - 7 Veces Si Reedición - PO - NOV 2021  <entry2> <artistName>  Vec  <trackName>  Gde Ste?,0.69
167.0,"<entry1>  2021 Ed Sheeran - """"="""" Release  <entry2> <artistName>  Ed Sheeran  <trackName>  Eraser",0.775
169.0,"<entry1>  2021 Ed Sheeran - """"="""" Release  <entry2> <artistName>  Ed Sheeran  <trackName>  Greed",0.7
170.0,"<entry1>  2021 Ed Sheeran - """"="""" Release  <entry2> <artistName>  Ed Sheeran  <trackName>  Feels",0.8
172.0,"<entry1>  2021 Ed Sheeran - """"="""" Release  <entry2> <artistName>  Ed Sheeran  <trackName>  Cheerleader",0.74
174.0,"<entry1>  2021 Ed Sheeran - """"="""" Release  <entry2> <artistName>  Ed Sheeran  <trackName>  Homeless",0.75
175.0,"<entry1>  2021 Ed Sheeran - """"="""" Release  <entry2> <artistName>  Ed Sheeran  <trackName>  2step",0.75
176.0,"<entry1>  2021 Ed Sheeran - """"="""" Release  <entry2> <artistName>  Ed Sheeran  <trackName>  The Eagles",0.7
178.0,<entry1>  [SC] David Bowie - Brilliant Adventure - PO - NOV 2021  <entry2> <artistName>  Raven  <trackName>  20/21,0.745
179.0,<entry1>  [SC] David Bowie - Brilliant Adventure - PO - NOV 2021  <entry2> <artistName>  David Bowie  <trackName>  Nature Boy,0.75
180.0,<entry1>  [SC] David Bowie - Brilliant Adventure - PO - NOV 2021  <entry2> <artistName>  David Bowie  <trackName>  Win,0.835
181.0,<entry1>  [SC] David Bowie - Brilliant Adventure - PO - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
183.0,<entry1>  [SC] David Bowie - Brilliant Adventure - PO - NOV 2021  <entry2> <artistName>  David Bowie  <trackName>  Ballad Of The Adventurers,0.78
184.0,<entry1>  [SC] David Bowie - Brilliant Adventure - PO - NOV 2021  <entry2> <artistName>  David Bowie  <trackName>  Seven,0.8
185.0,<entry1>  [SC] David Bowie - Brilliant Adventure - PO - NOV 2021  <entry2> <artistName>  David Bowie  <trackName>  I Can't Read,0.71
186.0,<entry1>  [SC] David Bowie - Brilliant Adventure - PO - NOV 2021  <entry2> <artistName>  David Bowie  <trackName>  All The Madmen,0.715
188.0,<entry1>  [SC] Vanesa Martín - Siete veces sí - PO - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
189.0,<entry1>  [SC] Vanesa Martín - Siete veces sí - PO - NOV 2021  <entry2> <artistName>  Vanesa Martín  <trackName>  Si pasa o no,0.75
192.0,<entry1>  [SC] Vanesa Martín - Siete veces sí - PO - NOV 2021  <entry2> <artistName>  Vanesa Martín  <trackName>  Nueve días,0.75
193.0,<entry1>  [SC] Vanesa Martín - Siete veces sí - PO - NOV 2021  <entry2> <artistName>  Vanesa Martín  <trackName>  No me salves,0.75
194.0,<entry1>  [SC] Vanesa Martín - Siete veces sí - PO - NOV 2021  <entry2> <artistName>  Vanesa Martín  <trackName>  Entrevista,0.7
196.0,<entry1>  [SC] Vanesa Martín - Siete veces sí - PO - NOV 2021  <entry2> <artistName>  Vanesa Martín  <trackName>  Me voy,0.75
197.0,<entry1>  [SC] Gen Dro Cines (Rosendo) - Evento - NOV 2021  <entry2> <artistName>  Leto  <trackName>  20/21,0.8200000000000001
199.0,<entry1>  [SC] Gen Dro Cines (Rosendo) - Evento - NOV 2021  <entry2> <artistName>  210  <trackName>  210,0.8
200.0,<entry1>  [SC] Gen Dro Cines (Rosendo) - Evento - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  En el chino,0.725
201.0,<entry1>  [SC] Gen Dro Cines (Rosendo) - Evento - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  Ven y ve,0.75
203.0,<entry1>  [SC] Gen Dro Cines (Rosendo) - Evento - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  Unos Golpes De Cincel,0.74
205.0,<entry1>  [SC] Gen Dro Cines (Rosendo) - Evento - NOV 2021  <entry2> <artistName>  Rosendo  <trackName>  El Uno Por Cien,0.735
210.0,<entry1>  YT - Jireel - Dagar i regn - BOOST  <entry2> <artistName>  Diaa  <trackName>  Dia,0.71
221.0,<entry1>  PL Noel - Boost du 11/11 - 1k€ - 091121 - Trafic  <entry2> <artistName>  91  <trackName>  Al final,0.69
227.0,<entry1>  WMTH_SMOTW แปลเพลงฮิต_vdo view_Tiktok  <entry2> <artistName>  Miko  <trackName>  Diko,0.75
239.0,<entry1>  Benson Boone - Ghost Town - SW  <entry2> <artistName>  Benson  <trackName>  Step To Me,0.75
249.0,<entry1>  WMP - Reach - Sia - Snowman  <entry2> <artistName>  Sia  <trackName>  Snowflake,0.81
251.0,<entry1>  WMP - Reach - Sia - Snowman  <entry2> <artistName>  Sia  <trackName>  Storm,0.8
252.0,<entry1>  WMP - Reach - Sia - Snowman  <entry2> <artistName>  Snow  <trackName>  Dream,0.7
255.0,<entry1>  WMP - Reach - Sia - Snowman  <entry2> <artistName>  Snow  <trackName>  Bad Men,0.715
256.0,<entry1>  WMP - Reach - Sia - Snowman  <entry2> <artistName>  Sia  <trackName>  Wyoming,0.73
257.0,<entry1>  Kevinho - Chama Neném [Tráfego] 10.11.21  <entry2> <artistName>  MC Kevinho  <trackName>  Chama Neném,0.85
258.0,<entry1>  Kevinho - Chama Neném [Tráfego] 10.11.21  <entry2> <artistName>  210  <trackName>  210,0.8
260.0,<entry1>  Kevinho - Chama Neném [Tráfego] 10.11.21  <entry2> <artistName>  210  <trackName>  117,0.7350000000000001
268.0,<entry1>  Oliver Tree Final Phase  <entry2> <artistName>  Final Space  <trackName>  Final Space,0.73
270.0,<entry1>  Oliver Tree Final Phase  <entry2> <artistName>  Oliver Tree  <trackName>  All That,0.75
276.0,<entry1>  Oliver Tree Final Phase  <entry2> <artistName>  Oliver Tree  <trackName>  Fuckin Up,0.72
279.0,<entry1>  Casper The Ghost x Jutes - BAD - Boost CTG  <entry2> <artistName>  Cyspe  <trackName>  Chase The Mouse,0.765
280.0,<entry1>  Casper The Ghost x Jutes - BAD - Boost CTG  <entry2> <artistName>  Cyspe  <trackName>  God,0.7350000000000001
285.0,<entry1>  Casper The Ghost x Jutes - BAD - Boost CTG  <entry2> <artistName>  E The  <trackName>  Over The Moon,0.71
310.0,<entry1>  Surf Curse - Freaks (feat Travis Barker)_TikTok_In-Feed Ad_clicks  <entry2> <artistName>  Curse  <trackName>  Sufis,0.8
311.0,<entry1>  Surf Curse - Freaks (feat Travis Barker)_TikTok_In-Feed Ad_clicks  <entry2> <artistName>  Barker  <trackName>  Clair,0.7
316.0,<entry1>  Surf Curse - Freaks (feat Travis Barker)_TikTok_In-Feed Ad_clicks  <entry2> <artistName>  Dave Barker  <trackName>  Fat Cat,0.695
327.0,<entry1>  D2C Ninho 5k Conversions  <entry2> <artistName>  Ninho  <trackName>  Filon,0.8
328.0,<entry1>  D2C Ninho 5k Conversions  <entry2> <artistName>  Ninho  <trackName>  Vrais,0.7
329.0,<entry1>  D2C Ninho 5k Conversions  <entry2> <artistName>  Ninho  <trackName>  Toutes options,0.79
331.0,<entry1>  D2C Ninho 5k Conversions  <entry2> <artistName>  Ninho  <trackName>  La zone,0.7849999999999999
332.0,<entry1>  D2C Ninho 5k Conversions  <entry2> <artistName>  Ninho  <trackName>  Coffrer,0.7849999999999999
333.0,<entry1>  D2C Ninho 5k Conversions  <entry2> <artistName>  Ninho  <trackName>  Rose,0.75
367.0,<entry1>  Medina - Teaser 2022  <entry2> <artistName>  Medina  <trackName>  Tegere,0.835
369.0,<entry1>  Medina - Teaser 2022  <entry2> <artistName>  Mednas  <trackName>  Taj,0.75
370.0,<entry1>  Medina - Teaser 2022  <entry2> <artistName>  Mednas  <trackName>  In The Water,0.705
371.0,<entry1>  Medina - Teaser 2022  <entry2> <artistName>  Medina  <trackName>  Maskerad,0.75
372.0,<entry1>  Medina - Teaser 2022  <entry2> <artistName>  Medina  <trackName>  Skit 1 - 7 Dar,0.715
374.0,<entry1>  Medina - Teaser 2022  <entry2> <artistName>  Medina  <trackName>  Tecken,0.75
376.0,<entry1>  Medina - Teaser 2022  <entry2> <artistName>  Medina  <trackName>  Skit 3 - 7 Dar,0.715
378.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (Alle Farben Remix),0.8049999999999999
379.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (Alle Farben Extended Remix),0.8049999999999999
380.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (TCTS Extended Remix),0.8049999999999999
381.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Overpass Graffiti (TCTS Remix),0.8049999999999999
383.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  Edoras,0.75
385.0,<entry1>  Ed Sheeran Overpass Graffiti  <entry2> <artistName>  Ed Sheeran  <trackName>  One,0.835
394.0,<entry1>  co_fb_co9_mom_boyfriend_portuguese_126292_de_vp14_ago_387066  <entry2> <artistName>  Muse  <trackName>  Prague,0.71
409.0,<entry1>  [Indonesia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Sia  <trackName>  Kate,0.71
411.0,<entry1>  [Indonesia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Master  <trackName>  Master,0.83
420.0,<entry1>  [Thailand] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Master  <trackName>  Master,0.83
421.0,<entry1>  [Thailand] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Tismo  <trackName>  Clikos,0.715
422.0,<entry1>  [Thailand] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Johnny Stimson  <trackName>  Wild World,0.8
430.0,<entry1>  [Philippines] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Master  <trackName>  Master,0.83
431.0,<entry1>  [Philippines] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Philip  <trackName>  Plata,0.7
432.0,<entry1>  [Philippines] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Plies  <trackName>  Water,0.7
434.0,<entry1>  [Philippines] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Philip  <trackName>  6 di mattina,0.75
438.0,<entry1>  [Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Mala  <trackName>  Tribal,0.835
439.0,<entry1>  [Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Sia  <trackName>  Kate,0.71
442.0,<entry1>  [Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Master  <trackName>  Master,0.83
446.0,<entry1>  [Malaysia] WrAR - Johnny Stimson - Material Things [Clicks] - P1 - R - 0062L00000VIrjPQAT  <entry2> <artistName>  Mala  <trackName>  Misteri Hati,0.79
447.0,<entry1>  DOM_Pam_doyouever_ppe-linkfire_11Nov2021  <entry2> <artistName>  210  <trackName>  210,0.8
450.0,<entry1>  DOM_Pam_doyouever_ppe-linkfire_11Nov2021  <entry2> <artistName>  210  <trackName>  117,0.7350000000000001
459.0,<entry1>  WMTH_dark post TH SMOTW out now_conversion_fb/ig  <entry2> <artistName>  Arion  <trackName>  Lost,0.775
469.0,<entry1>  DOM_Pam_doyouever_traffic-linkfire_11Nov2021  <entry2> <artistName>  210  <trackName>  210,0.8
472.0,<entry1>  DOM_Pam_doyouever_traffic-linkfire_11Nov2021  <entry2> <artistName>  210  <trackName>  117,0.7350000000000001
518.0,<entry1>  Rhno - The Replacements - Sorry Ma [eCom] - P1 [Sale] - 0062L00000VGVe3QAH - USA  <entry2> <artistName>  The Replacements  <trackName>  Try Me,0.835
521.0,<entry1>  Rhno - The Replacements - Sorry Ma [eCom] - P1 [Sale] - 0062L00000VGVe3QAH - USA  <entry2> <artistName>  The Replacements  <trackName>  Run It,0.75
527.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [FB/IG][USA]  <entry2> <artistName>  TFlow  <trackName>  USA,0.8
528.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [FB/IG][USA]  <entry2> <artistName>  Low  <trackName>  Done,0.71
537.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [IG Reels/IG Stories][USA]  <entry2> <artistName>  Eels  <trackName>  Flower,0.79
538.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [IG Reels/IG Stories][USA]  <entry2> <artistName>  Low  <trackName>  Lies,0.71
539.0,<entry1>  Atln - flowerkid - everyone has a breaking point EP - P1 - R - 0062L00000WCkECQA1 [IG Reels/IG Stories][USA]  <entry2> <artistName>  Low  <trackName>  Done,0.71
549.0,<entry1>  Atlantic: Q4 2021 Always On - Trey Songz  <entry2> <artistName>  Trey Songz  <trackName>  Hands On,0.81
550.0,<entry1>  Atlantic: Q4 2021 Always On - Trey Songz  <entry2> <artistName>  Trey Songz  <trackName>  Two Ways,0.75
551.0,<entry1>  Atlantic: Q4 2021 Always On - Trey Songz  <entry2> <artistName>  Trey Songz  <trackName>  Stand,0.8
552.0,<entry1>  Atlantic: Q4 2021 Always On - Trey Songz  <entry2> <artistName>  Trey Songz  <trackName>  Alone,0.7
554.0,<entry1>  Atlantic: Q4 2021 Always On - Trey Songz  <entry2> <artistName>  Trey Songz  <trackName>  Passion,0.715
555.0,<entry1>  Atlantic: Q4 2021 Always On - Trey Songz  <entry2> <artistName>  Trey Songz  <trackName>  Playboy,0.715
560.0,<entry1>  ADA - Anderson .Paak - Bubblin [Silk Sonic Spend] - P1 - R - 0062L00000WCfV9QAL [United States]  <entry2> <artistName>  Anderson.Paak  <trackName>  Answers,0.815
561.0,<entry1>  ADA - Anderson .Paak - Bubblin [Silk Sonic Spend] - P1 - R - 0062L00000WCfV9QAL [United States]  <entry2> <artistName>  Unité  <trackName>  Unité,0.8
562.0,<entry1>  ADA - Anderson .Paak - Bubblin [Silk Sonic Spend] - P1 - R - 0062L00000WCfV9QAL [United States]  <entry2> <artistName>  Vader  <trackName>  Anger,0.7
565.0,<entry1>  ADA - Anderson .Paak - Bubblin [Silk Sonic Spend] - P1 - R - 0062L00000WCfV9QAL [United States]  <entry2> <artistName>  Artes  <trackName>  3000,0.675
566.0,<entry1>  ADA - Anderson .Paak - Bubblin [Silk Sonic Spend] - P1 - R - 0062L00000WCfV9QAL [United States]  <entry2> <artistName>  Anderson.Paak  <trackName>  Universe,0.71
571.0,<entry1>  CA / Black Friday Merch / 2617 / PO67889  <entry2> <artistName>  Farida  <trackName>  Warda,0.715
580.0,<entry1>  CA / Festival Gig Guide / 2618 / PO67889  <entry2> <artistName>  Feist  <trackName>  Big Time,0.71
598.0,<entry1>  HI - VD - James Blunt - Pre-order - BE:PO546635  <entry2> <artistName>  James  <trackName>  Riders,0.75
599.0,<entry1>  HI - VD - James Blunt - Pre-order - BE:PO546635  <entry2> <artistName>  Blur  <trackName>  Tame,0.75
600.0,<entry1>  HI - VD - James Blunt - Pre-order - BE:PO546635  <entry2> <artistName>  James Blunt  <trackName>  Bartender,0.78
601.0,<entry1>  HI - VD - James Blunt - Pre-order - BE:PO546635  <entry2> <artistName>  James  <trackName>  Not There,0.72
604.0,<entry1>  HI - VD - James Blunt - Pre-order - BE:PO546635  <entry2> <artistName>  James  <trackName>  Just Hip,0.69
605.0,<entry1>  HI - VD - James Blunt - Pre-order - BE:PO546635  <entry2> <artistName>  James  <trackName>  Busted,0.75
606.0,<entry1>  HI - VD - James Blunt - Pre-order - BE:PO546635  <entry2> <artistName>  James  <trackName>  Protect Me,0.75
607.0,<entry1>  HI - VD - Zaz - FTW Kinepolis - BE:PO547116  <entry2> <artistName>  Zaz  <trackName>  Paris,0.7
608.0,<entry1>  HI - VD - Zaz - FTW Kinepolis - BE:PO547116  <entry2> <artistName>  Zaz  <trackName>  Si,0.75
609.0,<entry1>  HI - VD - Zaz - FTW Kinepolis - BE:PO547116  <entry2> <artistName>  Zaz  <trackName>  Nos vies,0.69
610.0,<entry1>  HI - VD - Zaz - FTW Kinepolis - BE:PO547116  <entry2> <artistName>  Zaz  <trackName>  Gamine,0.75
613.0,<entry1>  HI - VD - Zaz - FTW Kinepolis - BE:PO547116  <entry2> <artistName>  Zaz  <trackName>  Zaz - Interview,0.765
615.0,<entry1>  HI - VD - Zaz - FTW Kinepolis - BE:PO547116  <entry2> <artistName>  Zaz  <trackName>  Résigne-moi,0.725
619.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [IG Reels] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Unité  <trackName>  Unité,0.8
620.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [IG Reels] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Eels  <trackName>  Unhinged,0.685
621.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [IG Reels] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Artes  <trackName>  3000,0.675
622.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [IG Reels] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  The Staves  <trackName>  Feel,0.725
628.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [FB/IG/IGS] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Fatal  <trackName>  0,0.7
629.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [FB/IG/IGS] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Fatal  <trackName>  0,0.7
630.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [FB/IG/IGS] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Fatal  <trackName>  0,0.7
631.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [FB/IG/IGS] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Fatal  <trackName>  0,0.7
632.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [FB/IG/IGS] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Unité  <trackName>  Unité,0.8
633.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [FB/IG/IGS] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Fatal  <trackName>  0,0.7
634.0,<entry1>  Atln - GAYLE - Abcdefu [Pt. 2] (Phase 2 - iTunes) [FB/IG/IGS] - P2 - R - 0062L00000WCn3qQAD [United States]  <entry2> <artistName>  Artes  <trackName>  3000,0.675
658.0,<entry1>  JC Stewart - Awareness video  <entry2> <artistName>  JC Stewart  <trackName>  Bones,0.8
666.0,<entry1>  JC Stewart - Awareness video  <entry2> <artistName>  John Stewart  <trackName>  Rider,0.675
670.0,<entry1>  Silk Sonic Smokin Out The Window  <entry2> <artistName>  Sil  <trackName>  Dirty Windows,0.8200000000000001
672.0,<entry1>  Silk Sonic Smokin Out The Window  <entry2> <artistName>  Low  <trackName>  Dust on the Window,0.71
674.0,<entry1>  Silk Sonic Smokin Out The Window  <entry2> <artistName>  Wind  <trackName>  Up & Down,0.675
675.0,<entry1>  Silk Sonic Smokin Out The Window  <entry2> <artistName>  Silky  <trackName>  We The Men,0.7
677.0,<entry1>  Warner Music Canada: Charmaine - Bad Mentality (Canada)  <entry2> <artistName>  Tal  <trackName>  War,0.835
679.0,<entry1>  Warner Music Canada: Charmaine - Bad Mentality (Canada)  <entry2> <artistName>  War  <trackName>  The MUSIC BAND,0.6799999999999999
696.0,<entry1>  WrNa - Dan + Shay - Pick Out A Christmas Tree [Amazon Music] + Officially Christmas - P1 - R - 0062L00000WC8iZQAT  <entry2> <artistName>  Dan + Shay  <trackName>  Christmas Isn't Christmas,0.76
